,country_id,country_code,country_name,default_hist,fiscal_balance_gdp,government_grossdebt_gdp,inflation_data,exports_growth,savings_gdp,externaldebt,exports,reserves,real_gdppc,imports,real_gdpgrowth,real_gnipc,nominal_gdp,political_stability,rule_of_law,govt_effectiveness,m3_gdp,externaldebt/exports,reserves/import,reserves/gdp,log_real_gnipc,predicted_specgrade,Speculative_Grade_Prob,y_hat,(Threshold_Yhat)/sigma,Debt_Distress_prob
88,PL,POL,Poland,0,-0.238,48.89,1.6,6.303,20.097,,325572721986.876,116956636327.589,16692.8483342493,305447019409.143,5.34902511508139,15995.97615529,587114101392.696,0.5450124,0.4278919,0.6626508,65.042,,38.29031841719393,19.92059738475973,9.680092479298557,-0.5418424263533737,0.3677590911193352,,,
90,QA,QAT,Qatar,0,5.178,48.625,0.184,4.657,54.864,,102560989010.989,30358280804.0766,63260.5584959583,65810989010.989,1.49333999292831,62518.7624138576,191362087912.088,0.6783724,0.7346737,0.6312364,90.4619,,46.129500954631496,15.86431311202208,11.043221989295624,-2.3348638162117297,0.08827642064676552,,,
94,SA,SAU,Saudi Arabia,0,-5.871,18.98,2.483,7.176,33.426,,313841774640.0,509468527336.473,20819.7445746725,209720807493.333,2.43411078064224,20990.5417378307,786521831573.333,-0.5181113,0.1417293,0.3234982,70.1972,,242.92702923751088,64.77487424822634,9.951827221811337,-1.2789577063966857,0.2177276972390628,,,
96,SN,SEN,Senegal,0,-3.644,61.551,0.455,9.433,23.088,12273264890.2,5347710355.54279,,1547.09470286576,8713715902.43165,6.37955658364902,1505.62827740763,23236007428.2582,-0.0886327,-0.2080795,-0.2678156,35.6778,229.50504186299128,,,7.316965550142278,1.7284929195866328,0.8492195466214982,,,
100,SR,SUR,Suriname,0,-7.095,72.762,6.939,1.397,48.382,,,580780344.590911,8103.65042439821,,2.61879619852165,,3458090452.26131,0.0773252,-0.0639684,-0.6553037,68.6965,,,16.7948280303405,,,,,,
101,SY,SYR,Syria,0,,,,,,4589087478.9,,,,,,,,-2.739623,-2.047868,-1.671169,,,,,,,,,,
103,TG,TGO,Togo,0,-0.775,76.152,0.928,4.147,20.593,1760687348.0,1677425998.72355,,676.852195546436,2265147048.36559,4.91014753954207,679.533820352756,5356344850.49415,-0.9817027,-0.5908715,-1.057791,53.9885,104.96363770084692,,,6.52140700476283,2.8377169785695373,0.9446802738170339,,,
106,TT,TTO,Trinidad and Tobago,0,-5.991,45.065,1.019,-2.594,17.415,,,8108517577.38663,15161.0684555798,,-0.245213697183118,,23808146747.7994,0.2480514,-0.1205074,0.1902379,68.8028,,,34.05774360885987,,,,,,
112,UY,URY,Uruguay,1,-2.025,63.541,7.607,-0.278,15.923,,12517888059.6772,15556520867.2273,14617.4640000784,11316243356.4522,1.62008361586233,13580.962362609,59596885023.0917,1.046509,0.5991074,0.5582148,48.658,,137.4707168908436,26.102909340311488,9.5164242647733,-0.22071417687145065,0.4450443706599995,,,
113,VE,VEN,Venezuela,1,-31.304,182.448,65374.08,-22.764,17.039,154898123057.1,,9794062064.62108,,,,,,-1.343512,-2.338622,-1.581517,,,,,,,,,,
115,YE,YEM,Yemen,0,-6.68,64.752,27.6,23.136,3.881,7036567418.6,,,632.909430329521,,0.752598678967971,,27591261663.286,-3.002496,-1.790394,-2.244354,,,,,,,,,,
